"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-89.35","48.93","ABITIBI CAMP 11","6040010","1978-01","1978","01","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1978-02","1978","02","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1978-03","1978","03","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1978-04","1978","04","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1978-05","1978","05","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1978-06","1978","06","","M","","M","","M","","M","","M","18.6","","0.0","","18.6","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1978-07","1978","07","23.8","","8.3","","16.1","","32.2","","2.2","S","110.5","","0.0","","110.5","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1978-08","1978","08","21.6","","7.9","","14.8","","31.7","","0.0","","85.4","","0.0","","85.4","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1978-09","1978","09","16.6","","3.0","","9.8","","26.7","S","-4.4","","76.9","","0.0","","76.9","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1978-10","1978","10","11.0","","-2.1","","4.5","","23.3","","-11.1","","22.9","","2.3","","25.2","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1978-11","1978","11","-0.4","","-13.0","","-6.7","","22.2","","-26.7","","0.0","","41.7","E","41.7","E","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1978-12","1978","12","-10.4","","-24.2","","-17.3","","-1.7","","-36.1","","0.0","","31.8","","31.8","","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1979-01","1979","01","-15.4","","-30.0","","-22.7","","-3.9","","-40.6","S","0.0","","17.8","","17.8","","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1979-02","1979","02","-10.9","","-28.7","","-19.8","","1.7","","-43.3","","0.0","","50.8","","50.8","","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1979-03","1979","03","-1.1","","-14.7","","-7.9","","9.4","S","-25.6","S","0.8","","73.4","","74.2","","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1979-04","1979","04","6.7","","-9.1","","-1.2","","16.7","","-26.1","","26.0","","19.6","","45.6","","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1979-05","1979","05","13.3","","-0.5","","6.4","","24.4","","-5.0","S","0.0","","57.9","","57.9","","0","","","","",""
